iter	Passed	Remaining
774	1103	320
775	1103	318
776	1104	317
777	1105	315
778	1107	314
779	1108	312
780	1108	310
781	1109	309
782	1110	307
783	1111	306
784	1112	304
785	1113	303
786	1114	301
787	1115	300
788	1116	298
789	1116	296
790	1117	295
791	1118	293
792	1119	292
793	1120	290
794	1121	289
795	1122	287
796	1123	286
797	1124	284
798	1125	283
799	1126	281
800	1127	280
801	1128	278
802	1129	277
803	1130	275
804	1131	274
805	1132	272
806	1133	271
807	1134	269
808	1135	268
809	1136	266
810	1137	265
811	1138	263
812	1139	262
813	1140	260
814	1141	259
815	1142	257
816	1142	256
817	1144	254
818	1145	253
819	1146	251
820	1147	250
821	1148	248
822	1149	247
823	1150	245
824	1151	244
825	1152	242
826	1153	241
827	1154	239
828	1155	238
829	1156	236
830	1157	235
831	1158	233
832	1159	232
833	1160	230
834	1161	229
835	1163	228
836	1164	226
837	1166	225
838	1167	223
839	1167	222
840	1169	221
841	1170	219
842	1171	218
843	1172	216
844	1173	215
845	1174	213
846	1176	212
847	1176	210
848	1177	209
849	1178	208
850	1179	206
851	1180	205
852	1181	203
853	1182	202
854	1183	200
855	1184	199
856	1185	197
857	1186	196
858	1187	194
859	1188	193
860	1189	192
861	1190	190
862	1191	189
863	1192	187
864	1193	186
865	1194	184
866	1195	183
867	1196	181
868	1197	180
869	1198	179
870	1200	177
871	1201	176
872	1202	174
873	1203	173
874	1204	172
875	1205	170
876	1206	169
877	1207	167
878	1208	166
879	1209	164
880	1210	163
881	1211	162
882	1212	160
883	1213	159
884	1214	157
885	1215	156
886	1216	155
887	1217	153
888	1218	152
889	1219	150
890	1220	149
891	1221	147
892	1222	146
893	1223	145
894	1224	143
895	1226	142
896	1226	140
897	1227	139
898	1228	138
899	1229	136
900	1230	135
901	1232	133
902	1232	132
903	1233	131
904	1234	129
905	1235	128
906	1236	126
907	1237	125
908	1238	124
909	1239	122
910	1240	121
911	1241	119
912	1242	118
913	1243	116
914	1244	115
915	1246	114
916	1247	112
917	1248	111
918	1249	110
919	1250	108
920	1251	107
921	1252	105
922	1252	104
923	1253	103
924	1254	101
925	1255	100
926	1256	98
927	1257	97
928	1258	96
929	1259	94
930	1260	93
931	1261	92
932	1262	90
933	1264	89
934	1265	87
935	1266	86
936	1266	85
937	1267	83
938	1268	82
939	1270	81
940	1271	79
941	1272	78
942	1273	76
943	1274	75
944	1275	74
945	1277	72
946	1278	71
947	1279	70
948	1280	68
949	1280	67
950	1282	66
951	1283	64
952	1285	63
953	1286	62
954	1287	60
955	1289	59
956	1290	58
957	1292	56
958	1293	55
959	1295	53
960	1296	52
961	1298	51
962	1299	49
963	1300	48
964	1302	47
965	1303	45
966	1304	44
967	1306	43
968	1307	41
969	1309	40
970	1311	39
971	1312	37
972	1314	36
973	1315	35
974	1317	33
975	1318	32
976	1320	31
977	1322	29
978	1323	28
979	1324	27
980	1326	25
981	1327	24
982	1329	22
983	1330	21
984	1332	20
985	1333	18
986	1335	17
987	1336	16
988	1338	14
989	1339	13
990	1341	12
991	1342	10
992	1343	9
993	1345	8
994	1346	6
995	1348	5
996	1349	4
997	1351	2
998	1352	1
999	1354	0
